name,CountryCode,Predictive
aala,Filipino,1
ababa,Filipino,2
ababan,Filipino,2
ababon,Filipino,2
abac,Filipino,2
abaca,Filipino,2
abacan,Filipino,1
abada,Filipino,1
abadam,Filipino,2
abadeza,Filipino,1
abadiano,Filipino,1
abadines,Filipino,2
abadsantos,Filipino,1
abaga,Filipino,2
abagat,Filipino,2
abaigar,Filipino,1
abalahin,Filipino,2
abamonga,Filipino,2
aban,Filipino,1
abanador,Filipino,2
abando,Filipino,2
abanes,Filipino,2
abang,Filipino,2
abangan,Filipino,2
abania,Filipino,2
abanilla,Filipino,2
abano,Filipino,2
abante,Filipino,2
abao,Filipino,2
abaoag,Filipino,2
abapo,Filipino,2
abaquin,Filipino,2
abaquita,Filipino,2
abara,Filipino,1
abarabar,Filipino,2
abarcar,Filipino,1
abarico,Filipino,2
abarientos,Filipino,2
abarintos,Filipino,2
abarquez,Filipino,1
abarra,Filipino,2
abarro,Filipino,2
abary,Filipino,1
abastas,Filipino,1
abastillas,Filipino,2
abat,Filipino,1
abatayo,Filipino,2
abaya,Filipino,2
abayan,Filipino,1
abayon,Filipino,2
abbi,Indian,1
abcede,Filipino,2
abe,Japanese,2
abecia,Filipino,1
abedes,Filipino,2
abejar,Filipino,2
abejero,Filipino,2
abejo,Filipino,2
abejuela,Filipino,2
abejuro,Filipino,2
abelardo,Filipino,2
abeleda,Filipino,2
abelgas,Filipino,2
abellada,Filipino,2
abellana,Filipino,1
abellanosa,Filipino,2
abellar,Filipino,2
abellera,Filipino,2
abellon,Filipino,1
abelon,Filipino,1
abenes,Filipino,2
abenojar,Filipino,2
abergas,Filipino,2
aberin,Filipino,2
aberion,Filipino,2
abero,Filipino,2
abesamis,Filipino,2
abeto,Filipino,2
abian,Filipino,2
abiang,Filipino,2
abidog,Filipino,2
abiera,Filipino,2
abigania,Filipino,2
abijay,Filipino,2
abiko,Japanese,2
abilar,Filipino,2
abilay,Filipino,2
abilla,Filipino,2
abille,Filipino,2
abilo,Filipino,2
abinales,Filipino,2
abines,Filipino,1
abing,Filipino,1
abinoja,Filipino,2
abinsay,Filipino,2
abiog,Filipino,2
abiru,Japanese,1
abiva,Filipino,2
ablang,Filipino,2
ablao,Filipino,2
ablaza,Filipino,1
ablian,Filipino,2
ablir,Filipino,2
ablola,Filipino,2
abobo,Filipino,2
abogadie,Filipino,2
abolencia,Filipino,2
abonales,Filipino,2
abong,Filipino,1
abordo,Filipino,2
aboy,Filipino,1
aboyme,Filipino,2
abracosa,Filipino,2
abrahan,Filipino,1
abrajano,Filipino,1
abrazado,Filipino,2
abrea,Filipino,2
abrecea,Filipino,1
abrena,Filipino,2
abrenica,Filipino,2
abrenilla,Filipino,2
abrenio,Filipino,1
abrera,Filipino,2
abriam,Filipino,2
abrigo,Filipino,1
abrina,Filipino,1
abrogar,Filipino,2
abrogena,Filipino,2
absolor,Filipino,2
abua,Filipino,2
abuan,Filipino,2
abubo,Filipino,1
abucay,Filipino,2
abucejo,Filipino,2
abuda,Filipino,2
abude,Filipino,2
abueg,Filipino,2
abuel,Filipino,2
abueva,Filipino,2
abulencia,Filipino,2
abungan,Filipino,2
abustan,Filipino,2
abutal,Filipino,1
abuton,Filipino,2
abuyan,Filipino,1
abuyen,Filipino,2
abuyo,Filipino,2
abuyuan,Filipino,2
acab,Filipino,2
acacio,Filipino,2
academia,Filipino,2
acain,Filipino,2
acampado,Filipino,2
acantilado,Filipino,2
acapulco,Filipino,1
acasio,Filipino,2
acay,Filipino,1
acayan,Filipino,2
acaylar,Filipino,2
acda,Filipino,2
acdal,Filipino,2
